Файл:prof20_06_00_034_812.106146 - время обработки 80 пакетов (документов: 1861295): 02:34:45.037, сброс в БД: 01:32:24.912 (59 % от общего времени)
Файл:prof20_09_37_064_812.64135 - пустой, пропускаю
Файл:prof20_10_45_038_812.2046 - время обработки 40 пакетов (документов: 1530482): 02:10:40.505, сброс в БД: 01:16:14.595 (58 % от общего времени)
Файл:prof20_10_45_040_812.4617 - время обработки 100 пакетов (документов: 1583491): 02:11:25.165, сброс в БД: 01:19:13.098 (60 % от общего времени)
Файл:prof20_10_45_043_812.106074 - время обработки 100 пакетов (документов: 2098830): 02:52:57.621, сброс в БД: 01:45:27.329 (60 % от общего времени)
Файл:prof20_10_49_055_812.105858 - время обработки 90 пакетов (документов: 1936045): 02:39:44.353, сброс в БД: 01:36:42.176 (60 % от общего времени)
Файл:prof20_10_52_090_812.106009 - время обработки 90 пакетов (документов: 1723005): 02:23:14.343, сброс в БД: 01:26:29.766 (60 % от общего времени)
Файл:prof20_10_55_089_812.105909 - время обработки 70 пакетов (документов: 1918402): 02:36:36.202, сброс в БД: 01:35:32.567 (61 % от общего времени)
Файл:prof20_10_56_080_812.105852 - время обработки 130 пакетов (документов: 2060349): 02:50:32.290, сброс в БД: 01:41:55.740 (59 % от общего времени)
Файл:prof20_12_17_159_812.64491 - пустой, пропускаю
Файл:prof20_21_43_197_812.65551 - пустой, пропускаю
Файл:prof20_22_33_080_812.38623 - пустой, пропускаю
Файл:prof20_23_16_097_812.38705 - пустой, пропускаю
Файл:prof20_23_37_077_812.38740 - пустой, пропускаю
Файл:prof20_32_50_064_812.66830 - пустой, пропускаю
Файл:prof20_33_21_040_812.39843 - пустой, пропускаю
Файл:prof20_34_59_046_812.67032 - пустой, пропускаю
Файл:prof20_42_13_043_812.67940 - пустой, пропускаю
Файл:prof20_48_39_033_812.41619 - пустой, пропускаю
Файл:prof20_52_49_068_812.69252 - пустой, пропускаю
Файл:prof21_00_00_048_812.70195 - пустой, пропускаю
Файл:prof21_02_11_055_812.43295 - пустой, пропускаю
Файл:prof21_07_12_023_812.71162 - пустой, пропускаю
Файл:prof21_07_59_079_812.71260 - пустой, пропускаю
Файл:prof21_09_43_071_812.71458 - пустой, пропускаю
Файл:prof21_12_26_125_812.71775 - пустой, пропускаю
Файл:prof21_16_00_677_812.12579 - время обработки 50 пакетов (документов: 1782783): 02:28:39.929, сброс в БД: 01:30:15.508 (60 % от общего времени)
Файл:prof21_16_00_690_812.12582 - время обработки 70 пакетов (документов: 1579665): 02:11:55.980, сброс в БД: 01:21:02.655 (61 % от общего времени)
Файл:prof21_16_00_699_812.30326 - время обработки 70 пакетов (документов: 1205246): 01:43:18.761, сброс в БД: 01:02:18.022 (60 % от общего времени)
Файл:prof21_16_00_711_812.12393 - время обработки 60 пакетов (документов: 1659375): 02:23:47.470, сброс в БД: 01:24:42.416 (58 % от общего времени)
Файл:prof21_16_00_714_812.30338 - время обработки 50 пакетов (документов: 904165): 01:22:18.601, сброс в БД: 00:47:22.087 (57 % от общего времени)
Файл:prof21_16_00_727_812.12368 - время обработки 100 пакетов (документов: 1919619): 02:36:37.644, сброс в БД: 01:35:24.350 (60 % от общего времени)
Файл:prof21_16_10_908_812.28410 - время обработки 50 пакетов (документов: 1255798): 01:46:25.963, сброс в БД: 01:04:29.924 (60 % от общего времени)
Файл:prof21_16_10_914_812.12251 - время обработки 100 пакетов (документов: 1900067): 02:37:38.679, сброс в БД: 01:35:55.311 (60 % от общего времени)
Файл:prof21_16_11_489_812.72141 - пустой, пропускаю
Файл:prof21_16_11_490_812.72160 - пустой, пропускаю
Файл:prof21_16_11_502_812.72155 - пустой, пропускаю
Файл:prof21_19_33_090_812.45491 - пустой, пропускаю
Файл:prof21_48_27_268_812.49093 - пустой, пропускаю
Файл:prof21_52_47_726_812.49555 - пустой, пропускаю
Файл:prof21_55_20_050_812.23691 - пустой, пропускаю
Файл:prof21_58_32_077_812.24107 - пустой, пропускаю
Файл:prof22_03_24_035_812.50847 - пустой, пропускаю
Файл:prof22_03_57_104_812.24825 - пустой, пропускаю
Файл:prof22_21_07_016_812.27062 - пустой, пропускаю
Файл:prof22_37_42_029_812.77870 - пустой, пропускаю
Файл:prof22_38_29_070_812.54872 - пустой, пропускаю
Файл:prof22_42_08_061_812.78358 - пустой, пропускаю
Файл:prof22_52_01_066_812.107239 - время обработки 50 пакетов (документов: 2025973): 02:41:39.089, сброс в БД: 01:38:41.405 (61 % от общего времени)
Файл:prof22_52_45_097_812.5600 - время обработки 120 пакетов (документов: 1633288): 02:12:23.640, сброс в БД: 01:19:31.635 (60 % от общего времени)
Файл:prof22_52_50_097_812.107457 - время обработки 80 пакетов (документов: 1768259): 02:23:37.766, сброс в БД: 01:26:42.580 (60 % от общего времени)
Файл:prof22_53_06_203_812.107464 - время обработки 120 пакетов (документов: 1881257): 02:33:11.414, сброс в БД: 01:31:40.471 (59 % от общего времени)
Файл:prof22_54_48_050_812.107460 - время обработки 100 пакетов (документов: 2141730): 02:51:12.925, сброс в БД: 01:44:03.652 (60 % от общего времени)
Файл:prof22_54_49_070_812.107224 - время обработки 90 пакетов (документов: 2137065): 02:48:32.880, сброс в БД: 01:42:16.468 (60 % от общего времени)
